Parameter,Order,Seasonal,MAE,RMSE,MAPE
temperature_max,"(1, 1, 1)","(0, 0, 1, 30)",5.724,7.368,22.135
temperature_min,"(1, 1, 1)","(0, 0, 1, 30)",6.092,6.93,37.479
temperature_mean,"(1, 1, 1)","(0, 0, 1, 30)",5.376,6.8,26.281
humidity,"(1, 1, 1)","(0, 0, 1, 30)",37.883,43.017,58.197
precipitation,"(1, 1, 1)","(0, 0, 1, 30)",2.635,8.652,84.189
wind_speed,"(1, 1, 1)","(1, 0, 1, 30)",6.493,7.362,67.655
wind_direction,"(1, 1, 1)","(1, 0, 1, 30)",84.494,101.605,132.508
pressure,"(1, 1, 1)","(1, 0, 1, 30)",5.68,6.508,0.578
cloud_cover,"(1, 1, 1)","(0, 0, 1, 30)",29.867,33.531,378.615
dew_point,"(1, 0, 1)","(0, 0, 1, 30)",15.401,16.997,98.074
